"","coords.x1","coords.x2","cluster"
"1",544598.000000202,184574.999999125,1
"2",545804.000000211,181749.999999084,0
"3",547529.000000224,183509.999999016,0
"4",547744.000000225,185883.999999003,0
"5",545377.000000208,183626.999999098,1
"6",547976.000000227,188045.999998991,0
"7",544915.000000205,183025.999999114,0
"8",547677.000000225,184297.999999008,0
"9",547570.000000224,186486.99999901,0
"10",546578.000000217,184294.999999051,0
"11",547835.000000226,184331.999999001,0
"12",544100.000000199,183486.999999144,1
"13",544891.000000204,184729.999999114,1
"14",548023.000000227,189200.999998989,0
"15",544674.000000203,184569.999999123,1
"16",549349.000000237,183974.999998939,0
"17",549068.000000235,186118.999998949,0
"18",547163.000000221,185402.999999028,0
"19",545330.000000208,183582.9999991,1
"20",549862.000000241,184586.999998917,0
"21",549563.000000239,184833.999998929,0
"22",549308.000000237,184164.999998941,0
"23",545369.000000208,184849.999999098,1
"24",550050.000000243,184323.999998909,0
"25",550311.000000245,186222.999998896,0
"26",549084.000000235,187207.999998947,0
"27",548028.000000227,184507.999998994,0
"28",548143.000000228,189529.999998983,0
"29",549700.00000024,184571.999998924,0
"30",544833.000000204,184272.999999116,1
"31",547542.000000224,187102.99999901,22
"32",549308.000000237,184102.99999894,0
"33",544860.000000204,183928.999999116,1
"34",545985.000000212,183289.999999075,0
"35",546738.000000218,185815.999999043,0
"36",548622.000000232,182814.999998971,0
"37",544807.000000204,183652.999999119,1
"38",547744.000000225,185883.999999003,0
"39",544155.000000199,184625.999999141,1
"40",547641.000000224,183527.99999901,0
"41",544155.000000199,183289.999999143,1
"42",550383.000000246,184542.999998893,0
"43",550873.000000249,186951.999998869,0
"44",549518.000000239,185824.99999893,0
"45",545660.00000021,182213.99999909,0
"46",546699.000000217,185736.999999046,0
"47",550849.000000249,184906.999998873,0
"48",548477.000000231,188151.999998971,0
"49",544878.000000204,184259.999999116,1
"50",544840.000000204,184267.999999118,1
"51",543848.000000197,184753.999999152,1
"52",549271.000000237,185813.999998941,0
"53",548432.00000023,188461.999998972,0
"54",547120.00000022,182468.999999033,0
"55",548813.000000233,187598.999998958,0
"56",547617.000000224,184441.99999901,0
"57",549898.000000242,184212.999998916,0
"58",544787.000000204,184201.999999119,1
"59",550702.000000248,187281.999998876,0
"60",549187.000000236,183966.999998945,0
"61",544677.000000203,184037.999999123,1
"62",549253.000000237,185813.999998942,0
"63",547766.000000225,187870.999999,0
"64",550313.000000245,185528.999998896,0
"65",544778.000000204,183636.999999119,1
"66",550614.000000247,184610.999998884,0
"67",544314.0000002,184650.999999137,1
"68",548182.000000228,190002.99999898,0
"69",548981.000000234,186182.999998953,0
"70",547153.000000221,185380.999999028,0
"71",548485.000000231,183576.999998976,0
"72",550021.000000243,184905.999998909,0
"73",548519.000000231,188220.999998969,0
"74",550259.000000245,184900.999998899,0
"75",545686.00000021,183197.999999086,0
"76",547779.000000225,185756.999999002,0
"77",547206.000000221,184977.999999026,0
"78",544684.000000203,184637.999999123,1
"79",549189.000000236,186553.999998943,0
"80",549077.000000235,185591.999998949,0
"81",543989.000000198,184735.999999146,1
